PassengerId,GroupId,GroupSize,Transported,HomePlanet,Destination,CryoSleep,Cabin P1,Cabin P2,Cabin P3,Age,VIP,TotalSpendings,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0001_01,0001,1,False,Europa,TRAPPIST-1e,False,B,0,P,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0002_01,0002,1,True,Earth,TRAPPIST-1e,False,F,0,S,24.0,False,736.0,109.0,9.0,25.0,549.0,44.0
0003_01,0003,2,False,Europa,TRAPPIST-1e,False,A,0,S,58.0,True,10383.0,43.0,3576.0,0.0,6715.0,49.0
0003_02,0003,2,False,Europa,TRAPPIST-1e,False,A,0,S,33.0,False,5176.0,0.0,1283.0,371.0,3329.0,193.0
0004_01,0004,1,True,Earth,TRAPPIST-1e,False,F,1,S,16.0,False,1091.0,303.0,70.0,151.0,565.0,2.0
0005_01,0005,1,True,Earth,PSO J318.5-22,False,F,0,P,44.0,False,774.0,0.0,483.0,0.0,291.0,0.0
0006_01,0006,2,True,Earth,TRAPPIST-1e,False,F,2,S,26.0,False,1584.0,42.0,1539.0,3.0,0.0,0.0
0006_02,0006,2,True,Earth,TRAPPIST-1e,True,G,0,S,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0007_01,0007,1,True,Earth,TRAPPIST-1e,False,F,3,S,35.0,False,1018.0,0.0,785.0,17.0,216.0,0.0
0008_01,0008,3,True,Europa,55 Cancri e,True,B,1,P,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0008_02,0008,3,True,Europa,TRAPPIST-1e,True,B,1,P,34.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0008_03,0008,3,True,Europa,55 Cancri e,False,B,1,P,45.0,False,8157.0,39.0,7295.0,589.0,110.0,124.0
0009_01,0009,1,True,Mars,TRAPPIST-1e,False,F,1,P,32.0,False,1309.0,73.0,0.0,1123.0,0.0,113.0
0010_01,0010,1,False,Earth,TRAPPIST-1e,False,G,1,S,48.0,False,809.0,719.0,1.0,65.0,0.0,24.0
0011_01,0011,1,True,Earth,TRAPPIST-1e,False,F,2,P,28.0,False,1003.0,8.0,974.0,12.0,2.0,7.0
0012_01,0012,1,False,Earth,TRAPPIST-1e,False,F,1816,P,31.0,False,908.0,32.0,0.0,876.0,0.0,0.0
0014_01,0014,1,False,Mars,55 Cancri e,False,F,3,P,27.0,False,1408.0,1286.0,122.0,0.0,0.0,0.0
0015_01,0015,1,False,Earth,55 Cancri e,False,F,4,P,24.0,False,638.0,0.0,1.0,0.0,0.0,637.0
0016_01,0016,1,True,Mars,TRAPPIST-1e,True,F,5,P,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0017_01,0017,2,True,Earth,TRAPPIST-1e,False,G,0,P,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0017_02,0017,2,False,Earth,55 Cancri e,False,F,6,P,14.0,False,1092.0,412.0,0.0,1.0,0.0,679.0
0020_01,0020,6,False,Earth,TRAPPIST-1e,True,E,0,S,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0020_02,0020,6,False,Earth,55 Cancri e,True,E,0,S,49.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0020_03,0020,6,False,Earth,55 Cancri e,True,E,0,S,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0020_04,0020,6,True,Earth,TRAPPIST-1e,False,E,0,S,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0020_05,0020,6,False,Earth,PSO J318.5-22,True,E,0,S,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0020_06,0020,6,False,Earth,TRAPPIST-1e,False,E,0,S,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0022_01,0022,1,False,Mars,TRAPPIST-1e,False,D,0,P,21.0,False,1051.0,980.0,2.0,69.0,0.0,0.0
0024_01,0024,1,True,Europa,TRAPPIST-1e,True,C,2,S,62.0,False,0.0,0.0,0.0,0.0,0.0,0.0
0025_01,0025,1,False,Earth,TRAPPIST-1e,False,F,6,S,15.0,False,1223.0,0.0,225.0,0.0,998.0,0.0
0026_01,0026,1,False,Europa,55 Cancri e,False,C,0,P,34.0,False,7861.0,22.0,6073.0,0.0,1438.0,328.0
0028_01,0028,1,False,Mars,TRAPPIST-1e,False,F,8,P,43.0,False,1309.0,1125.0,0.0,136.0,48.0,0.0
